ProductName,TotalQuantitySold,TotalRevenue
"Côte de Blaye",623,164472
"Thüringer Rostbratwurst",746,92504
"Raclette Courdavault",1496,82280
"Camembert Pierrot",1577,53618
"Tarte au sucre",1083,53067
"Gnocchi di nonna Alice",1263,47994
"Manjimup Dried Apples",886,46958
"Alice Mutton",978,38142
"Carnarvon Tigers",539,33957
"Rössle Sauerkraut",640,29440
"Mozzarella di Giovanni",806,28210
"Ipoh Coffee",580,26680
Gudbrandsdalsost,714,25704
"Sir Rodneys Marmalade",313,25353
"Wimmers gute Semmelknödel",740,24420
"Perth Pasties",722,23826
"Gumbär Gummibärchen",753,23343
Fløtemysost,1057,23254
Ikura,742,23002
"Uncle Bobs Organic Dried Pears",763,22890
"Pâté chinois",903,21672
Chang,1057,20083
"Boston Crab Meat",1103,19854
Pavlova,1158,19686
Vegie-spread,445,19580
"Gorgonzola Telino",1397,18161
Lakkalikööri,981,17658
"Sirop dérable",603,17487
"Schoggi Schokolade",365,16060
"Nord-Ost Matjeshering",612,15912
"Steeleye Stout",883,15894
"Louisiana Fiery Hot Pepper Sauce",745,15645
"Inlagd Sill",805,15295
Chais,828,14904
"Northwoods Cranberry Sauce",372,14880
"Queso Cabrales",706,14826
"Chartreuse verte",793,14274
"Queso Manchego La Pastora",344,13072
"Outback Lager",817,12255
"Gula Malacca",601,11419
Maxilaku,520,10400
"Scottish Longbreads",799,10387
"Original Frankfurter grüne Soße",791,10283
"Sir Rodneys Scones",1016,10160
"Chef Antons Cajun Seasoning",453,9966
"Jacks New England Clam Chowder",981,9810
"Singaporean Hokkien Fried Mee",697,9758
"Mascarpone Fabioli",297,9504
Tofu,404,9292
"Rhönbräu Klosterbier",1155,9240
"Mishi Kobe Niku",95,9215
"Ravioli Angelo",434,8680
"Grandmas Boysenberry Spread",301,7525
"Gustafs Knäckebröd",348,7308
"Sasquatch Ale",506,7084
"Escargots de Bourgogne",534,6942
Spegesild,548,6576
"Teatime Chocolate Biscuits",723,6507
"Chef Antons Gumbo Mix",298,6258
"Guaraná Fantástica",1125,5625
Konbu,891,5346
Tourtière,755,5285
Tunnbröd,580,5220
"Røgede sild",508,5080
"Zaanse koeken",485,4850
"NuNuCa Nuß-Nougat-Creme",318,4452
"Röd Kaviar",293,4395
"Louisiana Hot Spiced Okra",239,4063
"Valkoinen suklaa",235,3760
"Filo Mix",500,3500
"Aniseed Syrup",328,3280
"Gravad lax",125,3250
"Longlife Tofu",297,2970
"Laughing Lumberjack Lager",184,2576
Geitost,755,2265
"Genen Shouyu",122,1952
Chocolade,138,1794
